Countries,Household_Food_Waste
Australia,102
Austria,39
Denmark,81
Netherlands,50
New Zealand,61
Norway,79
Sweden,81
United Kingdom,77
United States of America,59
China,64
Japan,64
Poland,56
Russian Federation,33
Finland,65
Italy,67
France,85
Belgium,50
