States,Energy Recovery,Disposal,Recycling,Total
ACT,53,70,0,123
NSW,28,80,48,156
NT,34,203,0,237
QLD,50,143,10,203
SA,36,75,7,118
Tas,47,138,0,185
Vic,51,108,14,173
WA,29,163,29,221
